video_id,title,channel_title,views,likes,dislikes,ratings_disabled,latest_trend_year,latest_trend_month,latest_trend_day,num_trend_days
-35jibKqbEo,Kygo - Stranger Things ft. OneRepublic (Alan Walker Remix),Alan Walker,2425578,129381.0,1522.0,False,2018,2,22,8
-7UzyXO-mzk,DON'T WAKE the WOMBAT?!,Brave Wilderness,2620061,59416.0,1201.0,False,2018,1,9,6
-7_ATlZ-zMc,Insta-Justice,Matt Bentkowski,3510260,28252.0,1695.0,False,2018,5,3,15
-BQJo3vK8O8,Maluma - El Préstamo (Official Video),MalumaVEVO,87264467,815369.0,71494.0,False,2018,3,25,11
-C_rvt0SwLE,Imagine Dragons - Next To Me (Audio),ImagineDragonsVEVO,11773962,397715.0,6677.0,False,2018,3,1,8
-QPdRfqTnt4,Dumbo Official Teaser Trailer,Disney Movie Trailers,4427381,96391.0,5508.0,False,2018,6,14,1
-Qv6p6pTz5I,Johnny English Strikes Again - Official Trailer (HD) - Coming Soon,Universal Pictures,8955556,233690.0,3308.0,False,2018,4,18,7
-RmUADCWI4A,All Sports Golf Battle 2 | Dude Perfect,Dude Perfect,14107720,356297.0,7889.0,False,2017,12,12,7
-kTWIm7m4Uw,We Bought A House,JennaMarbles,3440148,337688.0,1844.0,False,2018,6,13,27
-lgcAySBbTA,'Avengers: Infinity War' Cast Tours Los Angeles w/ James Corden,The Late Late Show with James Corden,4518449,179304.0,2030.0,False,2018,5,2,5
-xt_j2aIAkg,Predator Is Back,adidas Football,2678479,9250.0,1755.0,False,2017,11,29,7
0-7wMD5ISIs,ABANDONED MALL TURNED INTO WINTER WONDERLAND,CaseyNeistat,6647081,232199.0,13512.0,False,2017,12,28,9
08OhPK2BVIU,DOING MAKE UP WITH GARDENING TOOLS!!,Liza Koshy,4625928,377131.0,4362.0,False,2018,3,7,13
08vIy0y1N9I,THE NBA — A Bad Lip Reading,Bad Lip Reading,2757653,86377.0,1242.0,False,2018,6,14,3
0EPY1CKFecs,The True Messed Up Story of Pocahontas,CollegeHumor,2958978,66699.0,6499.0,False,2018,4,3,7
0Juc2cL26mg,"WINCHESTER - Official Trailer - HD (Helen Mirren, Jason Clarke)",CBS Films,3462190,1611.0,136.0,False,2018,1,9,4
0URpDxIjZrQ,Christopher Robin Official Trailer,Disney Movie Trailers,6095300,164449.0,4190.0,False,2018,6,13,18
0XuOkYlUWIs,13 Reasons Why: Season 2 | Official Trailer [HD] | Netflix,Netflix,6760593,229250.0,8891.0,False,2018,5,15,5
0YVbVXOjJv4,2018 Kia Stinger  |  Steven Tyler Big Game Ad – Feel something again,Kia Motors America,6345613,5155.0,281.0,False,2018,2,8,7
0bXCbVGb04A,"Game Theory: FNAF, The Theory That Changed EVERYTHING!! (FNAF 6 Ultimate Custom Night)",The Game Theorists,4585563,200284.0,6154.0,False,2018,6,14,4
0cZLo3AAan4,"DJ Khaled, Rihanna - Wild Thoughts (2018 Live Performance)",Super Netvid,3014847,42556.0,2791.0,False,2018,1,30,1
0l35jAGQPOI,Are we ready to get married?,PewDiePie,6841622,494130.0,6966.0,False,2018,5,30,22
0s6-iFoCFNQ,Gordon is Served “The Weirdest Pizza I’ve Ever Seen!” | Kitchen Nightmares,Kitchen Nightmares,2788162,27260.0,896.0,False,2017,11,27,8
0v-6AylRH68,TWICE Heart Shaker M/V TEASER (30s Ver.),jypentertainment,4029821,138170.0,8311.0,False,2017,12,11,6
0ycLaWymtKk,Merry Christmas in Dominoes! 🎅🏻 (Christmas Card),Hevesh5,2883649,36176.0,1704.0,False,2017,12,30,7
0zZ0Y_UZRBw,THE GREEN MAKEUP CHALLENGE! | NikkieTutorials,NikkieTutorials,2877877,158678.0,2172.0,False,2018,6,8,27
12m1rG0Tj7U,Jimmy Kimmel on Roseanne Cancellation,Jimmy Kimmel Live,2771982,22399.0,6921.0,False,2018,6,2,3
1FJD7jZqZEk,Jurassic World: Fallen Kingdom - Final Trailer [HD],Universal Pictures,14723484,190948.0,7913.0,False,2018,5,14,18
1HLMi1s6Tho,there's something we've been hiding from you.,CaseyNeistat,2410536,136888.0,3318.0,False,2018,6,14,8
1J76wN0TPI4,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,FoxStarHindi,40714581,778513.0,30866.0,False,2018,6,14,14
1PhPYr_9zRY,BTS Plays With Puppies While Answering Fan Questions,BuzzFeed Celeb,8259128,645888.0,4052.0,False,2018,6,14,25
1QmPCVW6jOs,Rusted butcher's knife - Impossible Restoration,Andre Will Do It,3633365,34995.0,3470.0,False,2018,4,3,5
1SnWTW6YXbE,Charlie Puth - Done For Me (feat. Kehlani) [Official Audio],Charlie Puth,6848484,208955.0,3287.0,False,2018,3,26,11
1ZAPwfrtAFY,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,6109402,151250.0,11508.0,False,2017,11,20,7
1Znl8OUBa_o,Gucci Gang Country Edition! (Dear Ryan),nigahiga,4631209,280213.0,5135.0,False,2017,12,23,6
1j_k5WCFShQ,I Bought The First 5 Things Insta Celebs Recommended To Me,Safiya Nygaard,3561593,178659.0,1688.0,False,2017,12,24,6
1l26UFQ06eQ,Welcome to Hell - SNL,Saturday Night Live,4440269,57183.0,8779.0,False,2017,12,7,3
1lGHZ5NMHRY,Holiday — Sway — Apple,Apple,4979612,46680.0,11703.0,False,2017,11,30,7
2-tzlBFotjA,My Summer Crush | Hannah Stocking,Hannah Stocking,4280876,124337.0,11809.0,False,2018,5,31,11
20DPgRoyQn0,Build Mini Underground Swimming Pool,Primitive Survival Tool,11383684,132635.0,8302.0,False,2018,4,22,9
20bpjtCbCz0,Deadpool 2: The Final Trailer,20th Century Fox,24152049,429341.0,5175.0,False,2018,5,14,18
266EI7hdjFs,Jurassic World: Fallen Kingdom - Trailer Thursday (Run) (HD),Universal Pictures,7080039,63371.0,5261.0,False,2017,12,8,4
2HboMs0vbsE,[2017 MAMA in Hong Kong] BTS_INTRO Perf. + Not Today,Mnet K-POP,3747210,244559.0,5835.0,False,2017,12,5,4
2PH7dK6SLC8,John Mayer - New Light,johnmayerVEVO,3613243,77927.0,1605.0,False,2018,6,8,28
2SJ0hgdciNE,Marshmello x Juicy J - You Can Cry (Ft. James Arthur) (Official Video),Marshmello,5001009,215271.0,5821.0,False,2018,6,8,7
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,43449654,1788960.0,24548.0,False,2017,11,16,3
2WHcBwq2wHc,Mo Salah bursts through wall to surprise kids | KOP KIDS PRANK,Liverpool FC,4544350,108091.0,1922.0,False,2018,4,14,10
2aQykuIaJVI,Lin-Manuel Miranda & Ben Platt Found Tonight [Official Video],Atlantic Records,3640120,182789.0,3123.0,False,2018,4,3,15
2fGXDFiFBhg,DON'T Buy The iPhone X,Unbox Therapy,5068126,206489.0,18261.0,False,2017,12,3,6
2h0bkuWzQeU,"Cashmere Cat, Major Lazer, Tory Lanez - Miss You (Official Video)",Major Lazer,4737883,126973.0,2518.0,False,2018,2,14,9
2in8XqiElwc,Nicki Minaj - Chun-Li (Live on SNL / 2018),NickiMinajAtVEVO,4945185,189265.0,9406.0,False,2018,6,14,25
2ktuvx9hrMw,Disney's The Nutcracker and the Four Realms - Teaser Trailer,Disney Movie Trailers,3065887,47974.0,2445.0,False,2017,12,30,11
2kyS6SvSYSE,WE WANT TO TALK ABOUT OUR MARRIAGE,CaseyNeistat,2564903,96321.0,7972.0,False,2017,11,20,7
2nVPFdqejD0,"Wait, My Crush is Watching? | Hannah Stocking & Lele Pons",Hannah Stocking,4450664,103301.0,23123.0,False,2018,6,14,14
2pJlpCfueV0,Kid orders bong. Package arrives and his mom wants to see him open it.,Avocado,3509600,51324.0,2285.0,False,2018,1,21,3
2tDKp41nrw8,BTS (방탄소년단) 'FAKE LOVE' Official Teaser 2,ibighit,8753550,1431724.0,6335.0,False,2018,5,18,2
2v4-L4PkV9U,I pranked him... then I BOUGHT him his DREAM CAR!! **emotional surprise**,FaZe Rug,2736265,116178.0,4316.0,False,2018,6,2,13
2z3EUY1aXdY,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,11154250,150451.0,49035.0,False,2018,2,8,4
305ryPvU6A8,HomePod — Welcome Home by Spike Jonze — Apple,Apple,7365395,98457.0,17797.0,False,2018,3,20,14
34cHO5_LX9g,SMALLFOOT - Official Trailer 1,Warner Bros. Pictures,4026262,10543.0,1016.0,False,2018,5,11,15
36QMyiRAv-Y,Jaiden & Boyinaband - Empty (Official Music Video),Jaiden Animations,3647441,387156.0,8882.0,False,2018,6,14,5
36tggrpRoTI,Shawn Mendes - In My Blood,ShawnMendesVEVO,16146848,1094557.0,8876.0,False,2018,5,3,9
39idVpFF7NQ,Roy Moore & Jeff Sessions Cold Open - SNL,Saturday Night Live,2688797,19042.0,3059.0,False,2017,11,18,5
3BJU2drrtCM,How a TV Works in Slow Motion - The Slow Mo Guys,The Slow Mo Guys,11188382,481888.0,5621.0,False,2018,1,25,7
3BNg4fDJC8A,How This Guy Folds and Flies World Record Paper Airplanes | WIRED,WIRED,3445502,106759.0,1359.0,False,2018,4,7,8
3ChgRbqGi-E,Kygo - Stranger Things ft. OneRepublic,KygoOfficialVEVO,4188327,155328.0,2118.0,False,2018,1,31,7
3Q2j5ApzSqs,Christina Aguilera - Fall In Line (Official Video) ft. Demi Lovato,CAguileraVEVO,16777231,518106.0,14427.0,False,2018,6,14,22
3eQP6JoxtKk,Film Theory: Thanos Was RIGHT!! (Avengers Infinity War),The Film Theorists,7862567,146603.0,13924.0,False,2018,5,27,9
3iUfzN4RAB8,Every Pixar Movie Reviewed in 10 Words or Less!,JelloApocalypse,3713832,49006.0,7354.0,False,2018,4,7,15
3k6RD9zVvpE,Musical Fiction | Rudy Mancuso,Rudy Mancuso,3203154,197222.0,1453.0,False,2017,11,27,7
3shrder58iU,"$150 Bed Vs. $159,000 Bed",BuzzFeedBlue,2898292,48651.0,3599.0,False,2018,6,4,7
3tUCuMSPQwE,NFL 2018 — A Bad Lip Reading of the NFL,Bad Lip Reading,7214750,122778.0,2300.0,False,2018,2,13,9
3yy-dKTmyOo,"Milo Manheim, Meg Donnelly - Someday (From ZOMBIES)",DisneyMusicVEVO,7628116,85230.0,2612.0,False,2018,3,3,9
41PTANtZFW0,Troye Sivan - Bloom,TroyeSivanVEVO,3245471,262291.0,8376.0,False,2018,6,13,7
425M4M3Opkk,Christopher Robin Official Teaser Trailer,Disney Movie Trailers,7714606,147739.0,5874.0,False,2018,3,21,15
4HU6Z7anycw,Lucas the Spider - Polar Bear,Lucas the Spider,6106813,292251.0,5483.0,False,2018,3,19,16
4WnizmrnJlk,Matt Lauer Sexual Harassment Allegations; Trump's Unhinged Tweets: A Closer Look,Late Night with Seth Meyers,2940750,27107.0,1324.0,False,2017,12,6,5
4cXsgT3ZcL8,Black Girls React to Tarte Shape Tape Foundation | Jackie Aina,Jackie Aina,2568313,135207.0,3650.0,False,2018,1,24,7
4h-XOckOwN8,What Happens If You Fill Up a Car with Coca-Cola?,TechRax,3305225,51291.0,9844.0,False,2017,12,22,5
4iRJDDjejCI,Gordon Ramsay vs Madelaine Petsch In VEGAN MASTERCHEF COOK OFF!,Gordon Ramsay,4203879,95218.0,4721.0,False,2018,6,14,8
4k9bXpi1tU4,Parked In My Spot,Domics,2668355,151443.0,2205.0,False,2018,5,19,17
4kDklB6-69Q,Poo Bear ft. Justin Bieber & Jay Electronica - Hard 2 Face Reality (Lyric Video),Hannah Stocking,29178096,825258.0,15353.0,False,2018,4,24,12
4nq0tT_SAD0,singing the same song 6 years later..,Tiffany Day,3564336,188129.0,1728.0,False,2018,5,20,10
4nqJiBRNQuw,Pastry Chef Attempts To Make Gourmet Kit Kats | Gourmet Makes | Bon Appétit,Bon Appétit,3183826,73056.0,2988.0,False,2018,5,14,10
4uTNVumfm84,Maroon 5 - Wait,Maroon5VEVO,18312570,450885.0,10280.0,False,2018,2,18,10
4ubwGb-vLA0,Honest Trailers - It (2017),Screen Junkies,3020358,66758.0,2054.0,False,2018,1,23,7
515lLZS082U,Pitch Perfect 3 - Riff-Off Clip [HD],Pitch Perfect,4046720,68563.0,3222.0,False,2017,12,3,7
52pwYD_rxmE,TRY NOT TO Slip 'N Slide Through the Wrong MYSTERY BOX!!,FaZe Rug,3494232,112341.0,13681.0,False,2018,6,14,12
54z8jWNM0bE,London Customs Agent Couldn't Believe John Krasinski Is Married to Emily Blunt,The Tonight Show Starring Jimmy Fallon,2635367,41221.0,593.0,False,2018,4,6,2
5530I_pYjbo,How I Trained My Cats,JunsKitchen,3083469,193377.0,1218.0,False,2017,11,22,8
56KYMMGudcU,Eminem - Untouchable (Audio),EminemVEVO,8617757,369736.0,37151.0,False,2017,12,15,7
57nZ7LaVAH0,I Let My Subscribers Pick My Hair Color,Safiya Nygaard,3457520,227602.0,3580.0,False,2018,4,7,3
5E4ZBSInqUU,Marshmello - Blocks (Official Music Video),marshmello,5468928,247884.0,5025.0,False,2017,11,20,7
5GHXEGz3PJg,Florence + The Machine - Hunger,FlorenceMachineVEVO,9534322,156895.0,3356.0,False,2018,5,26,22
5GRyr0noXrw,BOWLING BALL Vs. TRAMPOLINE from 45m!,How Ridiculous,25235767,493804.0,49040.0,False,2018,3,24,7
5JYqTSSH6IA,Benedict Cumberbatch Gets a Scare from 'Iron Man',TheEllenShow,2449920,49060.0,908.0,False,2018,4,30,2
5LoBGoQPUNc,Jennifer Lawrence Takes a Lie Detector Test | Vanity Fair,Vanity Fair,6438646,124860.0,8171.0,False,2018,3,14,13
5NaAwSpswJE,Yodeling Kid Mason Ramsey Performs at Coachella | TMZ,TMZ,3149536,47108.0,7962.0,False,2018,4,20,6
5TLANg1GC7U,CHICKEN GIRLS | Annie & Hayden in “Broken” | Ep. 8,Brat,3322855,79652.0,1543.0,False,2017,11,29,7
5TbUxGZtwGI,Time: The History & Future of Everything – Remastered,Kurzgesagt – In a Nutshell,2626381,167615.0,2796.0,False,2018,4,22,9
5_-NKRVn7IQ,Samsung Galaxy S9 and S9+: Official Introduction,Samsung,7676863,180749.0,8889.0,False,2018,3,10,13
5bJ_gb19pKQ,Honest Trailers - Thor: Ragnarok,Screen Junkies,3259936,87201.0,2482.0,False,2018,3,20,14
